,instId,side,sz,px,tradeId,ts
58,BTC-USDT,sell,0.00554311,50489.2,233927746,1630691184421
59,BTC-USDT,sell,0.00335917,50489.2,233927745,1630691184194
60,BTC-USDT,sell,0.001,50489.2,233927744,1630691184194
61,BTC-USDT,buy,7.34918288,50489.3,233927743,1630691184105
62,BTC-USDT,buy,0.00001,50489.2,233927742,1630691184105
63,BTC-USDT,buy,0.01075402,50489.2,233927741,1630691184105
64,BTC-USDT,buy,0.00001,50489.2,233927740,1630691184105
65,BTC-USDT,buy,0.0000431,50489.2,233927739,1630691184105
66,BTC-USDT,buy,0.01,50489.2,233927738,1630691184105
67,BTC-USDT,sell,0.00554311,50489.1,233927737,1630691183818
68,BTC-USDT,sell,0.00424241,50489.1,233927736,1630691183405
69,BTC-USDT,sell,0.005543,50489.1,233927735,1630691183032
70,BTC-USDT,buy,0.01,50484.4,233927734,1630691181682
71,BTC-USDT,buy,0.04277,50483.9,233927733,1630691181638
72,BTC-USDT,buy,0.00999,50483.3,233927732,1630691181611
73,BTC-USDT,buy,0.00001,50481.6,233927731,1630691181611
74,BTC-USDT,buy,0.00011995,50479.6,233927730,1630691181593
75,BTC-USDT,buy,0.0000371,50479.6,233927729,1630691181593
76,BTC-USDT,buy,0.004,50479.6,233927728,1630691181593
77,BTC-USDT,buy,0.00003028,50479.6,233927727,1630691181593
78,BTC-USDT,buy,0.01088672,50479.6,233927726,1630691181593
79,BTC-USDT,buy,0.00001,50479.6,233927725,1630691181593
80,BTC-USDT,buy,0.00003264,50479.6,233927724,1630691181593
81,BTC-USDT,buy,0.00616305,50479.6,233927723,1630691181593
82,BTC-USDT,sell,0.00521836,50479.5,233927722,1630691180562
83,BTC-USDT,sell,0.00011995,50479.5,233927721,1630691180562
84,BTC-USDT,sell,0.0002048,50479.5,233927720,1630691180562
85,BTC-USDT,buy,0.01,50479.6,233927719,1630691179309
86,BTC-USDT,sell,0.00006149,50479.5,233927718,1630691179236
87,BTC-USDT,buy,0.00001772,50479.6,233927717,1630691178163
88,BTC-USDT,buy,7.00381923,50479.6,233927716,1630691176635
89,BTC-USDT,buy,0.01611916,50479.5,233927715,1630691176635
90,BTC-USDT,buy,0.00002492,50479.5,233927714,1630691176635
91,BTC-USDT,buy,0.00001,50479.5,233927713,1630691176635
92,BTC-USDT,buy,0.00002669,50479.5,233927712,1630691176635
93,BTC-USDT,buy,0.00003911,50479.5,233927711,1630691174895
94,BTC-USDT,buy,0.0154825,50479.5,233927710,1630691172150
95,BTC-USDT,buy,0.00910191,50479.5,233927709,1630691172143
96,BTC-USDT,buy,0.0001034,50479.5,233927708,1630691172143
97,BTC-USDT,buy,0.00147572,50479.5,233927707,1630691172143
98,BTC-USDT,buy,0.00161,50479.5,233927706,1630691172143
99,BTC-USDT,buy,0.00761665,50479.5,233927705,1630691172143
